id,"person_id","parti_id","materiale",prosentlikhet
1,"ADA","A","643 avstemninger siste der André Oktay Dahl deltok",47.28
2,"ADA","H","643 avstemninger siste der André Oktay Dahl deltok",99.07
3,"ADA","Sp","643 avstemninger siste der André Oktay Dahl deltok",46.35
4,"ADA","SV","643 avstemninger siste der André Oktay Dahl deltok",44.32
5,"ADA","FrP","643 avstemninger siste der André Oktay Dahl deltok",58.79
6,"ADA","V","643 avstemninger siste der André Oktay Dahl deltok",65.32
7,"ADA","KrF","643 avstemninger siste der André Oktay Dahl deltok",69.21
8,"AESO","A","732 avstemninger siste der Arne Sortevik deltok",21.86
9,"AESO","H","732 avstemninger siste der Arne Sortevik deltok",60.38
10,"AESO","Sp","732 avstemninger siste der Arne Sortevik deltok",21.99
11,"AESO","SV","732 avstemninger siste der Arne Sortevik deltok",20.08
12,"AESO","FrP","732 avstemninger siste der Arne Sortevik deltok",99.18
13,"AESO","V","732 avstemninger siste der Arne Sortevik deltok",49.59
14,"AESO","KrF","732 avstemninger siste der Arne Sortevik deltok",44.40
15,"AGES","A","876 avstemninger siste der Åge Starheim deltok",22.83
16,"AGES","H","876 avstemninger siste der Åge Starheim deltok",60.62
17,"AGES","Sp","876 avstemninger siste der Åge Starheim deltok",23.29
18,"AGES","SV","876 avstemninger siste der Åge Starheim deltok",21.69
19,"AGES","FrP","876 avstemninger siste der Åge Starheim deltok",98.86
20,"AGES","V","876 avstemninger siste der Åge Starheim deltok",50.57
21,"AGES","KrF","876 avstemninger siste der Åge Starheim deltok",46.23
22,"AKSH","A","740 avstemninger siste der Aksel Hagen deltok",97.97
23,"AKSH","H","740 avstemninger siste der Aksel Hagen deltok",43.78
24,"AKSH","Sp","740 avstemninger siste der Aksel Hagen deltok",98.38
25,"AKSH","SV","740 avstemninger siste der Aksel Hagen deltok",99.73
26,"AKSH","FrP","740 avstemninger siste der Aksel Hagen deltok",22.43
27,"AKSH","V","740 avstemninger siste der Aksel Hagen deltok",42.03
28,"AKSH","KrF","740 avstemninger siste der Aksel Hagen deltok",51.35
29,"ALEH","A","956 avstemninger siste der Alf Egil Holmelid deltok",98.12
30,"ALEH","H","956 avstemninger siste der Alf Egil Holmelid deltok",42.26
31,"ALEH","Sp","956 avstemninger siste der Alf Egil Holmelid deltok",98.74
32,"ALEH","SV","956 avstemninger siste der Alf Egil Holmelid deltok",100.00
33,"ALEH","FrP","956 avstemninger siste der Alf Egil Holmelid deltok",20.61
34,"ALEH","V","956 avstemninger siste der Alf Egil Holmelid deltok",42.15
35,"ALEH","KrF","956 avstemninger siste der Alf Egil Holmelid deltok",51.57
36,"ALJ","A","657 avstemninger siste der Anna Ljunggren deltok",99.54
37,"ALJ","H","657 avstemninger siste der Anna Ljunggren deltok",43.38
38,"ALJ","Sp","657 avstemninger siste der Anna Ljunggren deltok",99.09
39,"ALJ","SV","657 avstemninger siste der Anna Ljunggren deltok",97.26
40,"ALJ","FrP","657 avstemninger siste der Anna Ljunggren deltok",22.53
41,"ALJ","V","657 avstemninger siste der Anna Ljunggren deltok",40.64
42,"ALJ","KrF","657 avstemninger siste der Anna Ljunggren deltok",52.97
43,"ALYS","A","88 avstemninger siste der Audun Lysbakken deltok",90.91
44,"ALYS","H","88 avstemninger siste der Audun Lysbakken deltok",47.73
45,"ALYS","Sp","88 avstemninger siste der Audun Lysbakken deltok",90.91
46,"ALYS","SV","88 avstemninger siste der Audun Lysbakken deltok",100.00
47,"ALYS","FrP","88 avstemninger siste der Audun Lysbakken deltok",44.32
48,"ALYS","V","88 avstemninger siste der Audun Lysbakken deltok",37.50
49,"ALYS","KrF","88 avstemninger siste der Audun Lysbakken deltok",53.41
50,"ANA","A","612 avstemninger siste der Anders Anundsen deltok",21.41
51,"ANA","H","612 avstemninger siste der Anders Anundsen deltok",60.78
52,"ANA","Sp","612 avstemninger siste der Anders Anundsen deltok",20.92
53,"ANA","SV","612 avstemninger siste der Anders Anundsen deltok",19.28
54,"ANA","FrP","612 avstemninger siste der Anders Anundsen deltok",98.69
55,"ANA","V","612 avstemninger siste der Anders Anundsen deltok",51.63
56,"ANA","KrF","612 avstemninger siste der Anders Anundsen deltok",44.28
57,"ANMB","A","604 avstemninger siste der Anne Marit Bjørnflaten deltok",99.83
58,"ANMB","H","604 avstemninger siste der Anne Marit Bjørnflaten deltok",46.19
59,"ANMB","Sp","604 avstemninger siste der Anne Marit Bjørnflaten deltok",99.50
60,"ANMB","SV","604 avstemninger siste der Anne Marit Bjørnflaten deltok",98.18
61,"ANMB","FrP","604 avstemninger siste der Anne Marit Bjørnflaten deltok",24.83
62,"ANMB","V","604 avstemninger siste der Anne Marit Bjørnflaten deltok",45.36
63,"ANMB","KrF","604 avstemninger siste der Anne Marit Bjørnflaten deltok",54.14
64,"ARK","A","716 avstemninger siste der Arve Kambe deltok",44.13
65,"ARK","H","716 avstemninger siste der Arve Kambe deltok",99.02
66,"ARK","Sp","716 avstemninger siste der Arve Kambe deltok",43.44
67,"ARK","SV","716 avstemninger siste der Arve Kambe deltok",42.32
68,"ARK","FrP","716 avstemninger siste der Arve Kambe deltok",59.50
69,"ARK","V","716 avstemninger siste der Arve Kambe deltok",66.62
70,"ARK","KrF","716 avstemninger siste der Arve Kambe deltok",66.34
71,"ASC","A","519 avstemninger siste der Åse Michaelsen deltok",19.85
72,"ASC","H","519 avstemninger siste der Åse Michaelsen deltok",62.43
73,"ASC","Sp","519 avstemninger siste der Åse Michaelsen deltok",19.46
74,"ASC","SV","519 avstemninger siste der Åse Michaelsen deltok",16.76
75,"ASC","FrP","519 avstemninger siste der Åse Michaelsen deltok",99.81
76,"ASC","V","519 avstemninger siste der Åse Michaelsen deltok",52.02
77,"ASC","KrF","519 avstemninger siste der Åse Michaelsen deltok",43.93
78,"ATR","A","407 avstemninger siste der Anette Trettebergstuen deltok",100.00
79,"ATR","H","407 avstemninger siste der Anette Trettebergstuen deltok",45.45
80,"ATR","Sp","407 avstemninger siste der Anette Trettebergstuen deltok",99.02
81,"ATR","SV","407 avstemninger siste der Anette Trettebergstuen deltok",96.07
82,"ATR","FrP","407 avstemninger siste der Anette Trettebergstuen deltok",23.34
83,"ATR","V","407 avstemninger siste der Anette Trettebergstuen deltok",38.57
84,"ATR","KrF","407 avstemninger siste der Anette Trettebergstuen deltok",53.56
85,"ATW","A","719 avstemninger siste der Anne Tingelstad Wøien deltok",99.03
86,"ATW","H","719 avstemninger siste der Anne Tingelstad Wøien deltok",43.39
87,"ATW","Sp","719 avstemninger siste der Anne Tingelstad Wøien deltok",99.86
88,"ATW","SV","719 avstemninger siste der Anne Tingelstad Wøien deltok",99.03
89,"ATW","FrP","719 avstemninger siste der Anne Tingelstad Wøien deltok",20.72
90,"ATW","V","719 avstemninger siste der Anne Tingelstad Wøien deltok",42.84
91,"ATW","KrF","719 avstemninger siste der Anne Tingelstad Wøien deltok",54.38
92,"AWE","A","594 avstemninger siste der Anders B. Werp deltok",45.96
93,"AWE","H","594 avstemninger siste der Anders B. Werp deltok",99.66
94,"AWE","Sp","594 avstemninger siste der Anders B. Werp deltok",45.45
95,"AWE","SV","594 avstemninger siste der Anders B. Werp deltok",43.10
96,"AWE","FrP","594 avstemninger siste der Anders B. Werp deltok",59.43
97,"AWE","V","594 avstemninger siste der Anders B. Werp deltok",67.34
98,"AWE","KrF","594 avstemninger siste der Anders B. Werp deltok",63.97
99,"BEHA","A","825 avstemninger siste der Bendiks H. Arnesen deltok",99.76
100,"BEHA","H","825 avstemninger siste der Bendiks H. Arnesen deltok",45.33
101,"BEHA","Sp","825 avstemninger siste der Bendiks H. Arnesen deltok",99.52
102,"BEHA","SV","825 avstemninger siste der Bendiks H. Arnesen deltok",98.30
103,"BEHA","FrP","825 avstemninger siste der Bendiks H. Arnesen deltok",23.27
104,"BEHA","V","825 avstemninger siste der Bendiks H. Arnesen deltok",41.33
105,"BEHA","KrF","825 avstemninger siste der Bendiks H. Arnesen deltok",55.15
106,"BENH","A","691 avstemninger siste der Bent Høie deltok",47.03
107,"BENH","H","691 avstemninger siste der Bent Høie deltok",98.99
108,"BENH","Sp","691 avstemninger siste der Bent Høie deltok",46.45
109,"BENH","SV","691 avstemninger siste der Bent Høie deltok",45.01
110,"BENH","FrP","691 avstemninger siste der Bent Høie deltok",59.77
111,"BENH","V","691 avstemninger siste der Bent Høie deltok",65.12
112,"BENH","KrF","691 avstemninger siste der Bent Høie deltok",66.43
113,"BLO","A","697 avstemninger siste der Bjørn Lødemel deltok",41.75
114,"BLO","H","697 avstemninger siste der Bjørn Lødemel deltok",100.00
115,"BLO","Sp","697 avstemninger siste der Bjørn Lødemel deltok",41.32
116,"BLO","SV","697 avstemninger siste der Bjørn Lødemel deltok",40.75
117,"BLO","FrP","697 avstemninger siste der Bjørn Lødemel deltok",61.26
118,"BLO","V","697 avstemninger siste der Bjørn Lødemel deltok",67.86
119,"BLO","KrF","697 avstemninger siste der Bjørn Lødemel deltok",64.99
120,"BT","A","718 avstemninger siste der Borghild Tenden deltok",44.29
121,"BT","H","718 avstemninger siste der Borghild Tenden deltok",68.11
122,"BT","Sp","718 avstemninger siste der Borghild Tenden deltok",44.01
123,"BT","SV","718 avstemninger siste der Borghild Tenden deltok",43.45
124,"BT","FrP","718 avstemninger siste der Borghild Tenden deltok",53.48
125,"BT","V","718 avstemninger siste der Borghild Tenden deltok",100.00
126,"BT","KrF","718 avstemninger siste der Borghild Tenden deltok",65.74
127,"BTH","A","805 avstemninger siste der Bente Thorsen deltok",21.37
128,"BTH","H","805 avstemninger siste der Bente Thorsen deltok",61.24
129,"BTH","Sp","805 avstemninger siste der Bente Thorsen deltok",21.49
130,"BTH","SV","805 avstemninger siste der Bente Thorsen deltok",20.75
131,"BTH","FrP","805 avstemninger siste der Bente Thorsen deltok",99.50
132,"BTH","V","805 avstemninger siste der Bente Thorsen deltok",51.43
133,"BTH","KrF","805 avstemninger siste der Bente Thorsen deltok",45.22
134,"BÅH","A","535 avstemninger siste der Bård Hoksrud deltok",19.44
135,"BÅH","H","535 avstemninger siste der Bård Hoksrud deltok",59.81
136,"BÅH","Sp","535 avstemninger siste der Bård Hoksrud deltok",19.63
137,"BÅH","SV","535 avstemninger siste der Bård Hoksrud deltok",18.13
138,"BÅH","FrP","535 avstemninger siste der Bård Hoksrud deltok",99.63
139,"BÅH","V","535 avstemninger siste der Bård Hoksrud deltok",52.34
140,"BÅH","KrF","535 avstemninger siste der Bård Hoksrud deltok",45.79
141,"CT","A","500 avstemninger siste der Christian Tybring-Gjedde deltok",24.00
142,"CT","H","500 avstemninger siste der Christian Tybring-Gjedde deltok",58.80
143,"CT","Sp","500 avstemninger siste der Christian Tybring-Gjedde deltok",23.60
144,"CT","SV","500 avstemninger siste der Christian Tybring-Gjedde deltok",22.40
145,"CT","FrP","500 avstemninger siste der Christian Tybring-Gjedde deltok",99.40
146,"CT","V","500 avstemninger siste der Christian Tybring-Gjedde deltok",53.20
147,"CT","KrF","500 avstemninger siste der Christian Tybring-Gjedde deltok",48.40
148,"DE","A","517 avstemninger siste der Dagrun Eriksen deltok",53.00
149,"DE","H","517 avstemninger siste der Dagrun Eriksen deltok",65.76
150,"DE","Sp","517 avstemninger siste der Dagrun Eriksen deltok",52.80
151,"DE","SV","517 avstemninger siste der Dagrun Eriksen deltok",50.48
152,"DE","FrP","517 avstemninger siste der Dagrun Eriksen deltok",46.62
153,"DE","V","517 avstemninger siste der Dagrun Eriksen deltok",65.96
154,"DE","KrF","517 avstemninger siste der Dagrun Eriksen deltok",100.00
155,"DH","A","429 avstemninger siste der Dagfinn Høybråten deltok",49.88
156,"DH","H","429 avstemninger siste der Dagfinn Høybråten deltok",67.83
157,"DH","Sp","429 avstemninger siste der Dagfinn Høybråten deltok",49.42
158,"DH","SV","429 avstemninger siste der Dagfinn Høybråten deltok",48.95
159,"DH","FrP","429 avstemninger siste der Dagfinn Høybråten deltok",49.42
160,"DH","V","429 avstemninger siste der Dagfinn Høybråten deltok",67.83
161,"DH","KrF","429 avstemninger siste der Dagfinn Høybråten deltok",99.30
162,"DOT","A","793 avstemninger siste der Dag Ole Teigen deltok",100.00
163,"DOT","H","793 avstemninger siste der Dag Ole Teigen deltok",45.02
164,"DOT","Sp","793 avstemninger siste der Dag Ole Teigen deltok",99.37
165,"DOT","SV","793 avstemninger siste der Dag Ole Teigen deltok",97.86
166,"DOT","FrP","793 avstemninger siste der Dag Ole Teigen deltok",20.93
167,"DOT","V","793 avstemninger siste der Dag Ole Teigen deltok",41.74
168,"DOT","KrF","793 avstemninger siste der Dag Ole Teigen deltok",56.75
169,"DTA","A","742 avstemninger siste der Dag Terje Andersen deltok",100.00
170,"DTA","H","742 avstemninger siste der Dag Terje Andersen deltok",44.88
171,"DTA","Sp","742 avstemninger siste der Dag Terje Andersen deltok",99.33
172,"DTA","SV","742 avstemninger siste der Dag Terje Andersen deltok",97.71
173,"DTA","FrP","742 avstemninger siste der Dag Terje Andersen deltok",26.28
174,"DTA","V","742 avstemninger siste der Dag Terje Andersen deltok",41.64
175,"DTA","KrF","742 avstemninger siste der Dag Terje Andersen deltok",54.18
176,"EAS","A","816 avstemninger siste der Elisabeth Aspaker deltok",44.98
177,"EAS","H","816 avstemninger siste der Elisabeth Aspaker deltok",98.90
178,"EAS","Sp","816 avstemninger siste der Elisabeth Aspaker deltok",44.24
179,"EAS","SV","816 avstemninger siste der Elisabeth Aspaker deltok",42.77
180,"EAS","FrP","816 avstemninger siste der Elisabeth Aspaker deltok",60.17
181,"EAS","V","816 avstemninger siste der Elisabeth Aspaker deltok",66.79
182,"EAS","KrF","816 avstemninger siste der Elisabeth Aspaker deltok",63.11
183,"EBO","A","722 avstemninger siste der Else-May Botten deltok",99.72
184,"EBO","H","722 avstemninger siste der Else-May Botten deltok",45.01
185,"EBO","Sp","722 avstemninger siste der Else-May Botten deltok",99.03
186,"EBO","SV","722 avstemninger siste der Else-May Botten deltok",97.09
187,"EBO","FrP","722 avstemninger siste der Else-May Botten deltok",24.79
188,"EBO","V","722 avstemninger siste der Else-May Botten deltok",41.69
189,"EBO","KrF","722 avstemninger siste der Else-May Botten deltok",55.40
190,"EIRS","A","604 avstemninger siste der Eirik Sivertsen deltok",100.00
191,"EIRS","H","604 avstemninger siste der Eirik Sivertsen deltok",43.87
192,"EIRS","Sp","604 avstemninger siste der Eirik Sivertsen deltok",100.00
193,"EIRS","SV","604 avstemninger siste der Eirik Sivertsen deltok",99.34
194,"EIRS","FrP","604 avstemninger siste der Eirik Sivertsen deltok",23.68
195,"EIRS","V","604 avstemninger siste der Eirik Sivertsen deltok",44.04
196,"EIRS","KrF","604 avstemninger siste der Eirik Sivertsen deltok",54.97
197,"EKS","A","293 avstemninger siste der Eirin Sund deltok",100.00
198,"EKS","H","293 avstemninger siste der Eirin Sund deltok",47.44
199,"EKS","Sp","293 avstemninger siste der Eirin Sund deltok",98.98
200,"EKS","SV","293 avstemninger siste der Eirin Sund deltok",97.61
201,"EKS","FrP","293 avstemninger siste der Eirin Sund deltok",22.53
202,"EKS","V","293 avstemninger siste der Eirin Sund deltok",40.61
203,"EKS","KrF","293 avstemninger siste der Eirin Sund deltok",55.97
204,"ELN","A","531 avstemninger siste der Elisabeth Røbekk Nørve deltok",46.70
205,"ELN","H","531 avstemninger siste der Elisabeth Røbekk Nørve deltok",98.49
206,"ELN","Sp","531 avstemninger siste der Elisabeth Røbekk Nørve deltok",46.14
207,"ELN","SV","531 avstemninger siste der Elisabeth Røbekk Nørve deltok",45.76
208,"ELN","FrP","531 avstemninger siste der Elisabeth Røbekk Nørve deltok",58.19
209,"ELN","V","531 avstemninger siste der Elisabeth Røbekk Nørve deltok",67.04
210,"ELN","KrF","531 avstemninger siste der Elisabeth Røbekk Nørve deltok",63.65
211,"ES","A","82 avstemninger siste der Erna Solberg deltok",57.32
212,"ES","H","82 avstemninger siste der Erna Solberg deltok",93.90
213,"ES","Sp","82 avstemninger siste der Erna Solberg deltok",53.66
214,"ES","SV","82 avstemninger siste der Erna Solberg deltok",43.90
215,"ES","FrP","82 avstemninger siste der Erna Solberg deltok",71.95
216,"ES","V","82 avstemninger siste der Erna Solberg deltok",60.98
217,"ES","KrF","82 avstemninger siste der Erna Solberg deltok",63.41
218,"EVH","A","264 avstemninger siste der Eva Kristin Hansen deltok",99.62
219,"EVH","H","264 avstemninger siste der Eva Kristin Hansen deltok",48.11
220,"EVH","Sp","264 avstemninger siste der Eva Kristin Hansen deltok",99.62
221,"EVH","SV","264 avstemninger siste der Eva Kristin Hansen deltok",97.35
222,"EVH","FrP","264 avstemninger siste der Eva Kristin Hansen deltok",23.86
223,"EVH","V","264 avstemninger siste der Eva Kristin Hansen deltok",43.18
224,"EVH","KrF","264 avstemninger siste der Eva Kristin Hansen deltok",56.82
225,"FBJ","A","750 avstemninger siste der Frank Bakke-Jensen deltok",44.93
226,"FBJ","H","750 avstemninger siste der Frank Bakke-Jensen deltok",100.00
227,"FBJ","Sp","750 avstemninger siste der Frank Bakke-Jensen deltok",44.40
228,"FBJ","SV","750 avstemninger siste der Frank Bakke-Jensen deltok",42.80
229,"FBJ","FrP","750 avstemninger siste der Frank Bakke-Jensen deltok",61.20
230,"FBJ","V","750 avstemninger siste der Frank Bakke-Jensen deltok",66.27
231,"FBJ","KrF","750 avstemninger siste der Frank Bakke-Jensen deltok",64.00
232,"FR","A","643 avstemninger siste der Freddy de Ruiter deltok",100.00
233,"FR","H","643 avstemninger siste der Freddy de Ruiter deltok",44.32
234,"FR","Sp","643 avstemninger siste der Freddy de Ruiter deltok",99.53
235,"FR","SV","643 avstemninger siste der Freddy de Ruiter deltok",98.60
236,"FR","FrP","643 avstemninger siste der Freddy de Ruiter deltok",23.02
237,"FR","V","643 avstemninger siste der Freddy de Ruiter deltok",42.92
238,"FR","KrF","643 avstemninger siste der Freddy de Ruiter deltok",52.57
239,"GAG","A","594 avstemninger siste der Gunnar Gundersen deltok",45.12
240,"GAG","H","594 avstemninger siste der Gunnar Gundersen deltok",99.33
241,"GAG","Sp","594 avstemninger siste der Gunnar Gundersen deltok",45.12
242,"GAG","SV","594 avstemninger siste der Gunnar Gundersen deltok",43.43
243,"GAG","FrP","594 avstemninger siste der Gunnar Gundersen deltok",59.60
244,"GAG","V","594 avstemninger siste der Gunnar Gundersen deltok",67.17
245,"GAG","KrF","594 avstemninger siste der Gunnar Gundersen deltok",62.96
246,"GEHN","A","899 avstemninger siste der Geir-Ketil Hansen deltok",97.78
247,"GEHN","H","899 avstemninger siste der Geir-Ketil Hansen deltok",41.82
248,"GEHN","Sp","899 avstemninger siste der Geir-Ketil Hansen deltok",98.44
249,"GEHN","SV","899 avstemninger siste der Geir-Ketil Hansen deltok",100.00
250,"GEHN","FrP","899 avstemninger siste der Geir-Ketil Hansen deltok",19.80
251,"GEHN","V","899 avstemninger siste der Geir-Ketil Hansen deltok",40.60
252,"GEHN","KrF","899 avstemninger siste der Geir-Ketil Hansen deltok",51.50
253,"GJB","A","781 avstemninger siste der Geir Jørgen Bekkevold deltok",53.27
254,"GJB","H","781 avstemninger siste der Geir Jørgen Bekkevold deltok",64.79
255,"GJB","Sp","781 avstemninger siste der Geir Jørgen Bekkevold deltok",53.01
256,"GJB","SV","781 avstemninger siste der Geir Jørgen Bekkevold deltok",51.73
257,"GJB","FrP","781 avstemninger siste der Geir Jørgen Bekkevold deltok",44.81
258,"GJB","V","781 avstemninger siste der Geir Jørgen Bekkevold deltok",64.28
259,"GJB","KrF","781 avstemninger siste der Geir Jørgen Bekkevold deltok",99.74
260,"GJH","A","809 avstemninger siste der Gjermund Hagesæter deltok",21.88
261,"GJH","H","809 avstemninger siste der Gjermund Hagesæter deltok",61.56
262,"GJH","Sp","809 avstemninger siste der Gjermund Hagesæter deltok",21.76
263,"GJH","SV","809 avstemninger siste der Gjermund Hagesæter deltok",20.77
264,"GJH","FrP","809 avstemninger siste der Gjermund Hagesæter deltok",99.75
265,"GJH","V","809 avstemninger siste der Gjermund Hagesæter deltok",51.05
266,"GJH","KrF","809 avstemninger siste der Gjermund Hagesæter deltok",45.36
267,"GJK","A","792 avstemninger siste der Gerd Janne Kristoffersen deltok",99.87
268,"GJK","H","792 avstemninger siste der Gerd Janne Kristoffersen deltok",43.18
269,"GJK","Sp","792 avstemninger siste der Gerd Janne Kristoffersen deltok",99.12
270,"GJK","SV","792 avstemninger siste der Gerd Janne Kristoffersen deltok",97.60
271,"GJK","FrP","792 avstemninger siste der Gerd Janne Kristoffersen deltok",22.22
272,"GJK","V","792 avstemninger siste der Gerd Janne Kristoffersen deltok",44.32
273,"GJK","KrF","792 avstemninger siste der Gerd Janne Kristoffersen deltok",54.80
274,"GKG","A","766 avstemninger siste der Gunn Karin Gjul deltok",99.87
275,"GKG","H","766 avstemninger siste der Gunn Karin Gjul deltok",44.52
276,"GKG","Sp","766 avstemninger siste der Gunn Karin Gjul deltok",99.74
277,"GKG","SV","766 avstemninger siste der Gunn Karin Gjul deltok",98.17
278,"GKG","FrP","766 avstemninger siste der Gunn Karin Gjul deltok",22.45
279,"GKG","V","766 avstemninger siste der Gunn Karin Gjul deltok",39.30
280,"GKG","KrF","766 avstemninger siste der Gunn Karin Gjul deltok",54.96
281,"GOK","A","507 avstemninger siste der Gorm Kjernli deltok",100.00
282,"GOK","H","507 avstemninger siste der Gorm Kjernli deltok",42.21
283,"GOK","Sp","507 avstemninger siste der Gorm Kjernli deltok",99.61
284,"GOK","SV","507 avstemninger siste der Gorm Kjernli deltok",99.61
285,"GOK","FrP","507 avstemninger siste der Gorm Kjernli deltok",22.49
286,"GOK","V","507 avstemninger siste der Gorm Kjernli deltok",45.17
287,"GOK","KrF","507 avstemninger siste der Gorm Kjernli deltok",52.27
288,"GUE","A","754 avstemninger siste der Gunvor Eldegard deltok",99.87
289,"GUE","H","754 avstemninger siste der Gunvor Eldegard deltok",46.02
290,"GUE","Sp","754 avstemninger siste der Gunvor Eldegard deltok",99.07
291,"GUE","SV","754 avstemninger siste der Gunvor Eldegard deltok",98.01
292,"GUE","FrP","754 avstemninger siste der Gunvor Eldegard deltok",24.93
293,"GUE","V","754 avstemninger siste der Gunvor Eldegard deltok",42.44
294,"GUE","KrF","754 avstemninger siste der Gunvor Eldegard deltok",55.31
295,"HAFA","A","573 avstemninger siste der Hans Frode Kielland Asmyhr deltok",22.34
296,"HAFA","H","573 avstemninger siste der Hans Frode Kielland Asmyhr deltok",58.99
297,"HAFA","Sp","573 avstemninger siste der Hans Frode Kielland Asmyhr deltok",21.99
298,"HAFA","SV","573 avstemninger siste der Hans Frode Kielland Asmyhr deltok",19.90
299,"HAFA","FrP","573 avstemninger siste der Hans Frode Kielland Asmyhr deltok",99.13
300,"HAFA","V","573 avstemninger siste der Hans Frode Kielland Asmyhr deltok",50.09
301,"HAFA","KrF","573 avstemninger siste der Hans Frode Kielland Asmyhr deltok",45.03
302,"HEW","A","485 avstemninger siste der Henning Warloe deltok",42.89
303,"HEW","H","485 avstemninger siste der Henning Warloe deltok",100.00
304,"HEW","Sp","485 avstemninger siste der Henning Warloe deltok",41.86
305,"HEW","SV","485 avstemninger siste der Henning Warloe deltok",40.62
306,"HEW","FrP","485 avstemninger siste der Henning Warloe deltok",57.73
307,"HEW","V","485 avstemninger siste der Henning Warloe deltok",63.30
308,"HEW","KrF","485 avstemninger siste der Henning Warloe deltok",65.77
309,"HHL","A","772 avstemninger siste der Hallgeir H. Langeland deltok",97.28
310,"HHL","H","772 avstemninger siste der Hallgeir H. Langeland deltok",40.28
311,"HHL","Sp","772 avstemninger siste der Hallgeir H. Langeland deltok",97.80
312,"HHL","SV","772 avstemninger siste der Hallgeir H. Langeland deltok",99.61
313,"HHL","FrP","772 avstemninger siste der Hallgeir H. Langeland deltok",17.23
314,"HHL","V","772 avstemninger siste der Hallgeir H. Langeland deltok",40.80
315,"HHL","KrF","772 avstemninger siste der Hallgeir H. Langeland deltok",51.04
316,"HML","A","407 avstemninger siste der Hilde Magnusson deltok",99.75
317,"HML","H","407 avstemninger siste der Hilde Magnusson deltok",46.19
318,"HML","Sp","407 avstemninger siste der Hilde Magnusson deltok",98.53
319,"HML","SV","407 avstemninger siste der Hilde Magnusson deltok",96.56
320,"HML","FrP","407 avstemninger siste der Hilde Magnusson deltok",25.06
